activity_pga1,activity_pga2,activity_pga3,activity_q1,activity_q2,activity_q3,activity_q4,activity_q5,activity_q6,activity_vid_count,activity_vid_week_1,activity_vid_week_2,activity_vid_week_3,activity_vid_week_4,activity_vid_week_5,activity_vid_week_6,course_platform,course_name,activity_completed,activity_learner,activity_auditor,unique_user_id
1,0,0,1,1,0,0,0,0,51.0,19.0,23.0,8.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,1,0,7e873cc0fc0f9c48e2626568edf337c2
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,3d066c7e4ab19e8b4d46bc3e4a89e4b4
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,2025a4357a6618752ba4f716e6d37480
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,285cc5614ffa5e84a84f6755db2671c8
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,939dca21687d2f3046dbbb596bc01c86
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,06285495797f9b366cceb6d599b9d389
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,8327a6d30a345c7f51a43123ffecfcb0
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,710a71d069a5e169666e5f8540d31010
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,637abf72d61aa11d9073baecc300f3fc
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,48615f2455612d1693dafde8dafcc029
1,1,1,1,1,1,1,1,1,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,1,1,0,559ed32c78c6822855fe89c89dc7464c
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,62447b3b517390e4249f4db3290908d4
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,5f46b2f1905358e5ada2f642cfa15a4b
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,4ef3eb6081c90e81beb55c3d656e4374
0,0,0,0,0,0,0,0,0,28.0,19.0,0.0,0.0,0.0,0.0,8.0,COURSERA,INTRO Fall 2014,0,0,0,a157b3bcd870a70e1dffcf99c475eeee
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,8a91522656433735f737ab47329baa33
0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,f02b2d5f8e4aef420c400abd6b27ebad
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,2fc8f2ca1181021a7457c8f477cca6f2
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,e3a3c4f2e3bd9f14f12e82c4d9cd2ba6
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,7fc32044b6ff46d105d8fc556f917ac6
0,0,0,0,0,0,0,0,0,108.0,19.0,23.0,31.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,ae944bb649ff3006f8fe3fcac1a631b3
